"model_id","rmse","mse","mae","rmsle","mean_residual_deviance"
"StackedEnsemble_BestOfFamily_1_AutoML_1_20241206_62456",0.021490381708123993,4.618365059608703E-4,0.009228511767073642,0.015146867859599632,4.618365059608703E-4
"StackedEnsemble_AllModels_1_AutoML_1_20241206_62456",0.021577120734793516,4.655721392038562E-4,0.009192581405168569,0.01523344632142,4.655721392038562E-4
"XGBoost_3_AutoML_1_20241206_62456",0.022713697682037376,5.1591206239099E-4,0.01190591373351852,0.016080476362208062,5.1591206239099E-4
"XGBoost_2_AutoML_1_20241206_62456",0.03928705132247887,0.0015434724016150888,0.02621843155889005,0.02762025492045688,0.0015434724016150888
"GBM_3_AutoML_1_20241206_62456",0.04319216248035353,0.0018655628997292588,0.023435737129947603,0.03140185735131053,0.0018655628997292588
"GBM_2_AutoML_1_20241206_62456",0.04372740820651988,0.0019120862284596224,0.026337303852326546,0.03175667397645637,0.0019120862284596224
"GBM_1_AutoML_1_20241206_62456",0.046259056690145725,0.002139900325862116,0.02498902558085051,0.0335860170222669,0.002139900325862116
"GLM_1_AutoML_1_20241206_62456",0.05188037193081252,0.0026915729916794392,0.038670626601343634,0.03681959257891201,0.0026915729916794392
"DRF_1_AutoML_1_20241206_62456",0.06824096729765831,0.004656829617720071,0.04788040492666474,0.04839901066288743,0.004656829617720071
"GBM_4_AutoML_1_20241206_62456",0.08488186484345832,0.007204930979303125,0.04618191736533373,0.062411314944581665,0.007204930979303125
"XGBoost_1_AutoML_1_20241206_62456",0.139726707320041,0.019523552738500396,0.10577447448399813,0.09478509926264804,0.019523552738500396
"XRT_1_AutoML_1_20241206_62456",0.2251408808622027,0.05068841623540856,0.17956381768513385,0.15927510672654294,0.05068841623540856
